view,pt1a,pt1b,pt1c,pt1d,pt2a,pt2b,pt2c,pt2d,pt3a,pt3b,pt3c,pt3d
dpr selatan,447 225, 676 226, 1080 535, 220 533,0 0, 1080 0,1080 720,0 720, 454 695, 348 632, 422 495, 532 555
dpr timur,444 95, 630 85, 957 575, 274 655,0 0, 1080 0,1080 720,0 720, 744 542, 719 615, 585 572, 612 497
