view,pt1a,pt1b,pt1c,pt1d,pt2a,pt2b,pt2c,pt2d,pt3a,pt3b,pt3c,pt3d
cungking selatan,320 210, 457 213, 883 512, 195 531,0 0, 1080 0,1080 720,0 720, 620 755, 500 733, 533 522, 654 540
cungking timur,608 140, 795 145, 725 420, 247 372,0 0, 1080 0,1080 720,0 720, 822 540, 801 618, 631 566, 657 491
cungking utara,335 270, 508 267, 726 577, 0 585,0 0, 1080 0,1080 720,0 720, 620 220, 735 253, 695 390, 580 357
