object_probs,left,top,right,bottom
motorbike 0.93965,557,286,580,322
motorbike 0.93180,845,397,925,454
motorbike 0.81573,286,307,347,358
motorbike 0.72499,690,354,728,415
motorbike 0.68259,586,334,622,393
motorbike 0.65762,604,285,624,322
motorbike 0.65456,654,314,689,375
motorbike 0.64841,579,251,601,284
motorbike 0.60429,636,269,658,309
car 0.80064,595,217,637,244
car 0.78359,497,243,550,298
person 0.90602,587,319,622,385
person 0.82685,690,332,727,407
person 0.81577,862,366,911,424
person 0.75263,653,302,691,367
person 0.64433,558,272,581,308
person 0.56879,290,304,343,355
