object_probs,left,top,right,bottom
motorbike 0.94243,855,397,934,457
motorbike 0.90072,556,287,578,324
motorbike 0.84231,692,357,734,412
motorbike 0.81825,587,336,624,393
motorbike 0.73304,279,317,340,366
motorbike 0.67964,579,252,601,284
motorbike 0.64419,655,318,692,376
motorbike 0.61613,606,287,625,321
motorbike 0.58318,636,271,658,309
car 0.73515,496,242,550,300
car 0.69475,596,218,635,245
person 0.90960,590,319,624,384
person 0.85500,693,336,732,405
person 0.80513,282,302,329,358
person 0.67769,874,371,924,443
person 0.58142,596,315,620,348
person 0.55590,560,270,581,305
