object_probs,left,top,right,bottom
truck 0.70333,625,546,986,718
motorbike 0.85012,134,481,182,550
person 0.70970 motorbike 0.81507,202,309,227,349
motorbike 0.77229,245,353,271,389
person 0.74116 motorbike 0.67769,328,288,350,325
motorbike 0.66556,99,359,137,419
motorbike 0.62973,265,311,291,344
motorbike 0.59020,70,452,120,533
motorbike 0.50844,246,369,272,398
car 0.87485,511,236,550,261
car 0.69973,548,210,584,238
car 0.64792,812,212,911,242
person 0.90860,132,444,180,541
person 0.90427,71,440,118,512
person 0.81353,244,333,271,370
person 0.74427,291,249,307,275
person 0.68249,264,275,287,303
person 0.65836,319,254,334,282
person 0.56169,264,292,289,327
