object_probs,left,top,right,bottom
motorbike 0.95149,802,404,876,455
motorbike 0.95149,125,342,198,387
motorbike 0.93225,550,309,577,346
motorbike 0.88051,719,360,771,416
motorbike 0.86593,607,308,633,346
motorbike 0.76407,576,268,602,302
motorbike 0.65209,656,381,701,430
motorbike 0.53376,142,267,177,302
car 0.81978,594,222,634,254
car 0.77901,488,253,543,315
person 0.86144,719,343,768,406
person 0.74749,139,319,165,351
person 0.71212,817,376,863,442
person 0.67593,654,358,699,421
person 0.61402,829,375,859,415
person 0.58320,133,322,172,377
