object_probs,left,top,right,bottom
motorbike 0.86777,80,378,120,432
motorbike 0.79061,142,421,185,483
person 0.66224 motorbike 0.78322,349,265,374,303
motorbike 0.77401,212,289,236,318
motorbike 0.75499,314,266,337,300
motorbike 0.54137,232,351,259,391
car 0.92766,508,235,550,262
car 0.86443,548,211,584,238
car 0.62202,417,629,621,719
car 0.51369,593,222,640,272
person 0.88029,140,397,184,467
person 0.83688,158,323,196,378
person 0.82847,137,368,170,410
person 0.80024,278,270,298,306
person 0.80021,211,275,236,307
person 0.73952,243,291,267,326
person 0.71139,316,256,337,290
person 0.61501,229,332,259,366
person 0.52496,83,359,108,389
