object_probs,left,top,right,bottom
truck 0.89999,571,546,983,717
motorbike 0.76271,48,470,96,557
person 0.71302 motorbike 0.72526,314,291,340,329
motorbike 0.72422,75,379,117,434
motorbike 0.67849,104,492,157,580
motorbike 0.65278,188,326,213,363
motorbike 0.60540,0,285,50,327
motorbike 0.58241,231,369,260,407
motorbike 0.57447,183,308,220,361
motorbike 0.54527,316,307,339,336
motorbike 0.50926,247,312,276,346
person 0.56777 motorbike 0.50120,278,251,293,276
car 0.88433,512,235,551,262
car 0.63954,548,209,584,238
car 0.58231,811,212,912,242
person 0.90558,49,454,94,539
person 0.82528,102,457,154,541
person 0.78783,250,288,278,327
person 0.68831,188,312,211,351
person 0.62839,310,256,326,283
person 0.52841,287,252,304,281
person 0.51932,312,271,328,299
