object_probs,left,top,right,bottom
motorbike 0.80771,351,267,374,300
motorbike 0.76363,2,520,56,596
motorbike 0.66120,257,329,286,366
motorbike 0.57754,308,292,328,316
person 0.95028 motorbike 0.51079,557,230,572,260
car 0.88584,30,366,172,471
person 0.96632,305,269,328,308
person 0.87290,2,483,58,588
person 0.85089,351,253,374,292
person 0.83540,254,306,289,363
person 0.71210,68,556,120,643
person 0.70259,645,232,660,264
person 0.68111,612,200,623,218
person 0.62415,625,235,641,262
person 0.61376,608,250,620,274
person 0.61164,155,321,182,369
person 0.60234,601,236,618,258
