object_probs,left,top,right,bottom
truck 0.50578,91,325,210,432
motorbike 0.83730,13,440,60,508
motorbike 0.81678,172,485,222,550
person 0.76836 motorbike 0.81550,287,289,315,327
motorbike 0.77397,213,306,235,342
motorbike 0.72008,291,309,313,334
motorbike 0.63419,79,463,121,523
person 0.85384 motorbike 0.50940,335,252,356,284
car 0.73807,86,352,195,430
car 0.72343,814,212,911,240
person 0.95399,83,422,130,496
person 0.93885,173,444,219,513
person 0.87645,555,234,571,264
person 0.78277,212,294,236,334
person 0.67673,627,234,642,260
person 0.64263,608,250,621,276
person 0.63572,612,199,622,218
person 0.63438,13,420,55,489
person 0.59597,645,232,660,263
