object_probs,left,top,right,bottom
traffic light 0.58888,418,172,434,195
motorbike 0.79760,596,312,621,349
motorbike 0.78540,679,348,705,383
motorbike 0.76391,745,378,797,444
motorbike 0.69279,958,458,1075,560
motorbike 0.68931,601,327,622,359
motorbike 0.67006,623,291,644,322
motorbike 0.60801,7,293,48,323
motorbike 0.52258,619,376,649,410
car 0.86205,472,292,535,357
car 0.59790,587,229,627,262
person 0.78308,749,356,793,426
person 0.60983,625,352,656,383
person 0.58016,308,239,328,263
person 0.51332,1006,456,1055,535
