object_probs,left,top,right,bottom
motorbike 0.96282,892,412,988,480
motorbike 0.93820,729,387,793,444
motorbike 0.88372,242,330,301,370
motorbike 0.87194,681,349,710,392
person 0.59585 motorbike 0.82183,246,251,275,282
motorbike 0.81825,621,325,645,363
motorbike 0.81212,372,321,433,377
motorbike 0.79425,581,304,604,343
motorbike 0.71344,1011,440,1078,552
motorbike 0.67009,620,312,644,349
motorbike 0.55644,576,282,608,340
car 0.97472,478,333,596,439
car 0.86910,564,236,613,287
person 0.68657,918,381,964,451
person 0.67633,258,311,290,345
person 0.66233,738,355,785,429
