object_probs,left,top,right,bottom
motorbike 0.81582,0,407,46,500
motorbike 0.72810,122,352,157,391
motorbike 0.72308,287,311,310,345
motorbike 0.71415,61,348,93,391
motorbike 0.57916,338,290,363,330
motorbike 0.53627,167,330,196,366
car 0.69436,284,248,330,272
car 0.66012,812,213,912,242
person 0.81685,122,331,153,368
person 0.77921,58,325,94,383
person 0.66687,349,237,365,263
person 0.63610,643,231,661,263
person 0.58503,550,233,567,268
person 0.57810,625,233,643,261
person 0.53367,606,248,619,275
