object_probs,left,top,right,bottom
motorbike 0.84586,165,330,200,367
motorbike 0.80572,105,330,134,361
motorbike 0.80007,314,292,338,321
person 0.83721 motorbike 0.69557,101,311,135,349
motorbike 0.56889,63,374,104,447
car 0.81914,0,460,93,631
car 0.60428,307,242,372,291
car 0.60260,325,234,359,254
car 0.56531,457,192,487,213
car 0.55892,813,213,911,242
person 0.73671,644,230,661,265
person 0.69736,166,310,197,343
person 0.58648,549,233,568,268
person 0.58408,61,367,100,428
person 0.53897,625,235,642,264
