object_probs,left,top,right,bottom
motorbike 0.90849,292,292,313,318
motorbike 0.88527,12,420,55,480
person 0.78437 motorbike 0.82630,248,291,269,325
motorbike 0.73000,179,392,210,431
motorbike 0.65295,321,285,347,327
motorbike 0.58701,205,331,229,364
motorbike 0.55154,62,458,134,527
car 0.90849,357,632,601,719
car 0.89492,510,236,549,261
car 0.86388,549,210,584,237
car 0.50539,595,210,640,234
person 0.97226,290,271,312,309
person 0.91916,179,358,214,422
person 0.87828,71,436,124,513
person 0.79908,59,406,96,459
person 0.73013,206,312,228,349
person 0.64747,11,398,51,468
person 0.62635,174,292,204,332
person 0.61834,101,347,141,403
