object_probs,left,top,right,bottom
truck 0.86262,548,562,910,714
motorbike 0.81888,182,326,208,366
motorbike 0.76707,227,372,258,412
motorbike 0.68338,312,305,332,338
motorbike 0.60913,61,375,100,441
motorbike 0.57235,244,332,270,366
car 0.89178,511,236,551,261
car 0.71690,549,210,584,238
car 0.57903,813,212,909,241
car 0.57527,2,286,28,326
person 0.81242,310,293,332,332
person 0.81087,245,290,271,325
person 0.75815,180,312,204,351
person 0.74709,275,252,290,279
person 0.56892,227,344,262,406
person 0.52263,306,271,322,299
