object_probs,left,top,right,bottom
motorbike 0.91430,266,289,285,317
motorbike 0.86965,207,370,240,412
motorbike 0.84286,47,399,94,455
motorbike 0.72602,110,440,160,504
person 0.80533 motorbike 0.69453,303,268,326,307
motorbike 0.69211,141,352,171,389
person 0.65865 motorbike 0.63561,225,308,249,348
motorbike 0.58330,337,287,359,314
motorbike 0.54476,195,288,225,327
car 0.91473,510,236,549,262
car 0.79502,439,613,682,719
car 0.78324,550,211,584,238
person 0.97735,108,415,159,492
person 0.90809,264,274,285,307
person 0.87056,206,341,242,403
person 0.80744,99,387,135,431
person 0.72686,338,271,362,307
person 0.67496,46,380,90,447
person 0.56487,140,335,167,365
