object_probs,left,top,right,bottom
car 0.59165 truck 0.55224,0,388,110,541
person 0.59637 motorbike 0.82840,309,291,334,327
person 0.84075 motorbike 0.81017,563,229,577,255
motorbike 0.64589,217,358,255,418
motorbike 0.63397,262,333,285,359
motorbike 0.62105,222,389,251,426
motorbike 0.59769,312,309,334,333
car 0.50348,813,213,910,241
person 0.82246,218,350,254,405
person 0.80413,645,231,661,265
person 0.80200,260,310,286,349
person 0.72607,305,270,329,303
person 0.70881,625,234,642,264
person 0.60323,601,235,619,259
person 0.51410,62,358,90,395
