object_probs,left,top,right,bottom
motorbike 0.89077,166,379,210,440
motorbike 0.85498,0,412,36,490
motorbike 0.82850,253,382,295,440
person 0.92567 motorbike 0.77955,270,269,291,303
motorbike 0.70884,333,268,355,295
motorbike 0.64921,44,360,88,415
motorbike 0.54296,259,408,293,444
person 0.60264 motorbike 0.51780,332,257,354,284
car 0.71754,152,312,248,379
person 0.92818,255,361,292,425
person 0.86491,167,362,210,429
person 0.74210,555,235,571,266
person 0.73313,646,231,662,263
person 0.67431,624,234,642,262
person 0.64077,607,201,620,219
person 0.54093,1,399,34,473
person 0.54018,373,235,386,259
