object_probs,left,top,right,bottom
motorbike 0.96557,944,437,1038,512
motorbike 0.93170,683,357,725,413
motorbike 0.89331,774,385,841,439
motorbike 0.88677,17,347,89,397
motorbike 0.87323,214,364,298,419
motorbike 0.87129,638,311,660,344
person 0.50540 motorbike 0.84112,334,234,352,254
motorbike 0.67134,602,349,631,380
car 0.99750,562,387,756,506
car 0.76397,552,260,607,309
person 0.80263,783,357,828,424
person 0.69178,967,407,1015,498
person 0.64585,624,231,643,263
person 0.52785,600,320,634,378
person 0.50739,225,347,264,402
