object_probs,left,top,right,bottom
motorbike 0.85648,311,308,335,350
motorbike 0.77088,133,396,177,464
person 0.54202 motorbike 0.64367,228,247,258,280
person 0.89921 motorbike 0.61489,353,266,374,304
motorbike 0.57957,232,349,258,381
motorbike 0.51094,162,266,197,297
car 0.90973,511,234,548,260
car 0.81652,551,212,582,236
car 0.68115,0,541,24,655
car 0.54498,593,223,640,273
person 0.93536,132,386,175,447
person 0.91248,303,263,326,303
person 0.89308,915,499,972,586
person 0.86038,231,317,261,378
person 0.56361,165,255,194,291
