object_probs,left,top,right,bottom
motorbike 0.92556,107,443,155,496
motorbike 0.87345,201,465,245,517
motorbike 0.81879,300,291,326,322
person 0.67826 motorbike 0.80426,349,248,368,278
motorbike 0.70649,232,311,252,332
person 0.94772 motorbike 0.61396,230,288,254,326
car 0.89082,105,331,217,414
car 0.59205,815,212,909,241
person 0.97029,200,417,246,485
person 0.96180,109,403,153,472
person 0.91293,555,234,570,266
person 0.90018,301,272,327,308
person 0.86594,40,402,79,469
person 0.85471,610,200,621,220
person 0.73670,607,250,620,276
person 0.67484,626,234,642,261
person 0.65116,644,232,660,263
person 0.53493,590,233,605,259
person 0.50553,625,249,638,277
