object_probs,left,top,right,bottom
motorbike 0.81283,48,337,84,396
motorbike 0.70883,335,309,359,337
person 0.70631 motorbike 0.63168,332,291,358,329
motorbike 0.58344,110,339,151,397
motorbike 0.53860,111,367,150,404
motorbike 0.52591,274,311,301,348
car 0.88934,278,249,322,271
car 0.65648,813,213,911,241
person 0.71279,625,232,643,260
person 0.71241,549,234,568,269
person 0.69292,644,231,661,263
person 0.67063,110,326,149,382
person 0.63618,47,326,84,387
person 0.57839,338,239,356,262
person 0.56421,605,249,619,274
