object_probs,left,top,right,bottom
truck 0.76822,72,336,187,450
motorbike 0.74628,273,310,301,342
motorbike 0.69265,51,486,101,550
car 0.61272,814,212,908,242
person 0.94391,373,249,389,283
person 0.93908,556,232,572,263
person 0.90894,326,258,346,302
person 0.89419,190,306,218,351
person 0.88216,51,445,100,512
person 0.78715,273,291,301,328
person 0.71947,137,481,184,553
person 0.71836,625,234,641,262
person 0.67726,645,232,660,264
person 0.63668,613,197,624,218
person 0.60419,607,250,620,275
person 0.53547,601,236,618,258
