object_probs,left,top,right,bottom
motorbike 0.91955,838,399,916,453
motorbike 0.87033,558,286,580,321
motorbike 0.83242,295,308,356,357
motorbike 0.74597,684,356,724,410
motorbike 0.69100,581,337,618,389
motorbike 0.66923,604,285,624,322
person 0.74875 motorbike 0.62120,559,271,581,308
motorbike 0.59576,637,268,658,308
motorbike 0.58328,581,252,601,284
motorbike 0.54592,651,313,686,374
car 0.83517,593,217,637,245
car 0.77431,496,242,550,297
person 0.82241,585,320,621,383
person 0.76077,651,303,688,367
person 0.73700,683,314,722,388
person 0.68085,858,365,903,423
person 0.58373,296,302,345,354
