object_probs,left,top,right,bottom
motorbike 0.93525,157,329,223,373
motorbike 0.93445,769,385,830,434
motorbike 0.89287,645,308,669,341
motorbike 0.75949,856,415,936,491
motorbike 0.69092,705,341,744,399
person 0.51978 motorbike 0.62939,622,269,644,305
motorbike 0.51115,1047,429,1078,520
car 0.91471,552,316,625,369
car 0.53511,456,192,488,216
person 0.70003,182,315,213,347
person 0.68129,777,354,822,422
person 0.64209,644,232,663,263
person 0.56232,648,295,670,329
person 0.50404,785,350,811,393
