object_probs,left,top,right,bottom
motorbike 0.95539,150,383,238,438
motorbike 0.91601,353,232,370,251
motorbike 0.80095,618,351,649,394
motorbike 0.73917,0,367,17,404
motorbike 0.72089,1031,459,1079,529
motorbike 0.69728,819,396,899,458
motorbike 0.66408,720,361,763,416
motorbike 0.58428,646,312,671,345
motorbike 0.52533,388,306,434,339
car 0.99748,616,397,815,536
car 0.92531,550,260,609,317
person 0.67250,625,237,641,264
person 0.62954,173,361,213,425
person 0.53811,1045,424,1078,522
person 0.52313,839,372,884,447
