object_probs,left,top,right,bottom
motorbike 0.94211,197,423,240,485
motorbike 0.90759,269,329,300,369
motorbike 0.83167,120,418,163,484
person 0.53908 motorbike 0.79909,239,291,264,328
motorbike 0.70896,156,350,190,387
person 0.76968 motorbike 0.66409,355,271,377,304
car 0.90676,511,236,548,260
car 0.82282,550,209,583,237
person 0.96865,120,403,161,468
person 0.95954,198,391,239,469
person 0.92791,386,645,466,719
person 0.79237,271,313,298,351
person 0.70060,153,325,190,380
person 0.68883,296,269,320,304
person 0.57327,159,319,182,344
