object_probs,left,top,right,bottom
motorbike 0.91450,307,311,331,340
person 0.51814 motorbike 0.86410,222,304,247,344
motorbike 0.81781,557,625,660,694
person 0.73278 motorbike 0.76558,276,271,298,303
motorbike 0.70554,169,378,207,442
motorbike 0.66556,4,507,58,609
motorbike 0.60159,254,356,289,423
motorbike 0.53122,47,285,88,319
motorbike 0.51610,332,274,358,299
car 0.93279,511,236,549,261
car 0.86830,549,211,582,236
car 0.64672,596,210,638,234
car 0.58760,594,231,636,263
person 0.95037,304,293,330,331
person 0.78618,170,363,207,427
person 0.78558,249,345,286,406
person 0.73733,1,490,55,588
person 0.65779,594,568,664,640
person 0.54351,221,296,244,329
