object_probs,left,top,right,bottom
motorbike 0.95778,660,341,699,397
motorbike 0.94460,79,348,151,390
motorbike 0.93282,880,438,966,498
motorbike 0.85558,261,361,341,410
motorbike 0.77678,746,378,798,431
motorbike 0.69837,597,329,621,365
motorbike 0.58761,628,293,653,328
person 0.54713 motorbike 0.53899,597,310,622,350
car 0.99406,534,366,697,489
car 0.68237,557,238,609,297
person 0.77789,315,239,334,262
person 0.77160,884,388,927,474
person 0.73475,276,339,319,401
person 0.65773,90,328,139,380
person 0.64289,625,231,645,266
