object_probs,left,top,right,bottom
truck 0.54348,594,223,641,272
motorbike 0.80423,310,292,329,317
person 0.82435 motorbike 0.75845,271,311,295,348
motorbike 0.75623,273,328,296,358
motorbike 0.68740,8,290,50,323
car 0.89439,511,234,549,261
car 0.80087,547,209,585,237
car 0.63874,0,358,111,473
car 0.60971,892,605,1079,718
person 0.90583,309,273,329,307
person 0.83107,113,436,164,514
person 0.75421,159,371,194,408
person 0.62654,157,369,200,445
person 0.60280,293,240,313,263
person 0.52159,417,231,428,251
person 0.51189,16,276,43,306
