object_probs,left,top,right,bottom
traffic light 0.52728,417,171,434,196
motorbike 0.95401,609,405,697,460
motorbike 0.93538,401,419,484,479
motorbike 0.93401,186,358,260,421
motorbike 0.87826,738,479,849,543
motorbike 0.58785,1,298,26,325
car 0.99918,73,406,322,530
car 0.94668,971,488,1079,657
car 0.61604,591,222,639,269
car 0.53779,591,212,640,234
person 0.78242,739,443,782,512
person 0.71713,404,401,479,474
person 0.62771,614,386,688,446
person 0.52174,772,447,820,512
person 0.51774,646,233,666,271
