object_probs,left,top,right,bottom
traffic light 0.59020,417,172,433,194
motorbike 0.87751,632,328,658,367
motorbike 0.83296,551,305,574,349
motorbike 0.78475,584,294,605,328
motorbike 0.66567,413,309,443,336
motorbike 0.56980,742,365,769,410
motorbike 0.50766,586,308,603,334
car 0.79433,506,229,558,279
car 0.74379,595,216,634,241
car 0.63352,595,226,630,252
car 0.56717,536,216,563,238
person 0.80166,414,291,443,328
person 0.67656,632,308,659,346
person 0.67233,552,290,577,324
person 0.59875,731,339,769,403
person 0.50347,741,332,766,369
