object_probs,left,top,right,bottom
person 0.55280 motorbike 0.86196,308,308,333,350
motorbike 0.81173,229,346,258,384
motorbike 0.61263,310,327,332,358
motorbike 0.58721,131,417,176,479
person 0.90710 motorbike 0.56124,352,267,372,304
car 0.93023,511,234,550,260
car 0.77707,551,212,582,237
car 0.54337,592,224,640,273
person 0.83841,298,263,320,301
person 0.81371,899,502,951,602
person 0.77384,129,387,172,449
person 0.69190,229,320,261,379
person 0.62545,378,233,392,258
person 0.52994,227,246,254,281
