object_probs,left,top,right,bottom
truck 0.88087,574,547,978,716
truck 0.50300,594,224,640,273
motorbike 0.78957,186,327,210,365
motorbike 0.67302,229,369,259,411
motorbike 0.64208,314,307,335,337
person 0.71772,313,292,336,331
motorbike 0.57386,68,376,110,438
motorbike 0.50328,43,468,93,560
car 0.87576,512,235,550,260
car 0.66317,549,211,584,238
car 0.55212,813,212,910,241
person 0.81639,184,310,207,351
person 0.77735,249,289,274,326
person 0.77438,277,251,291,278
person 0.72035,44,457,91,538
person 0.55335,308,256,324,283
person 0.53470,94,470,143,563
