object_probs,left,top,right,bottom
motorbike 0.91341,290,291,312,319
person 0.73478 motorbike 0.87130,245,291,267,327
motorbike 0.85863,314,286,344,326
motorbike 0.84411,9,419,53,483
motorbike 0.81816,56,454,131,528
motorbike 0.79804,203,333,227,365
motorbike 0.78047,99,358,141,414
motorbike 0.73595,173,376,210,435
motorbike 0.71642,170,308,195,341
motorbike 0.59179,248,310,267,333
car 0.90224,345,637,592,718
car 0.89842,510,236,549,261
car 0.85513,549,210,584,237
person 0.96376,287,272,310,310
person 0.95229,172,360,210,428
person 0.90292,68,436,121,520
person 0.87137,52,411,88,467
person 0.74056,7,400,48,471
person 0.73053,98,348,138,406
person 0.71968,201,315,225,350
person 0.63662,171,293,196,330
