object_probs,left,top,right,bottom
motorbike 0.89024,101,358,141,417
motorbike 0.86623,163,399,203,463
motorbike 0.80605,251,347,276,380
person 0.81877 motorbike 0.68180,291,272,308,300
motorbike 0.62601,183,328,211,367
motorbike 0.61176,229,290,250,314
person 0.64479 motorbike 0.53261,257,285,276,321
car 0.91424,509,234,550,262
car 0.84028,549,211,583,237
car 0.56903,593,222,639,272
car 0.50020,811,212,910,244
car 0.50001,597,210,638,234
person 0.93622,227,273,249,307
person 0.91204,161,376,202,452
person 0.84042,159,355,189,394
person 0.79963,326,254,346,287
person 0.77843,250,330,277,370
person 0.71225,181,316,206,351
person 0.61383,102,350,128,388
person 0.59947,254,277,271,307
person 0.57092,100,346,139,406
person 0.53192,177,317,212,372
