object_probs,left,top,right,bottom
traffic light 0.59198,417,172,433,195
motorbike 0.93255,878,416,976,478
motorbike 0.86934,777,419,854,487
motorbike 0.83330,572,347,599,388
motorbike 0.77727,655,348,682,390
motorbike 0.65944,576,331,601,364
person 0.58593 motorbike 0.65625,242,253,267,282
motorbike 0.52438,582,294,603,323
car 0.85459,481,273,537,335
car 0.73968,590,227,628,257
person 0.90713,901,383,948,450
person 0.85838,798,401,843,468
person 0.79541,648,316,684,381
person 0.63042,580,314,602,344
