object_probs,left,top,right,bottom
truck 0.56244,594,571,847,714
motorbike 0.89337,269,328,295,366
motorbike 0.79126,123,343,161,399
motorbike 0.61246,182,407,216,451
person 0.64331 motorbike 0.50935,184,376,222,444
car 0.86189,511,235,552,261
car 0.72401,549,211,584,238
car 0.56084,539,596,728,719
person 0.91174,243,268,264,302
person 0.88762,269,275,288,307
person 0.87145,200,310,230,348
person 0.83826,182,342,221,394
person 0.79348,267,313,292,347
person 0.59975,339,253,355,283
person 0.58972,272,290,291,321
person 0.56619,125,336,153,368
