object_probs,left,top,right,bottom
motorbike 0.83648,102,396,133,428
person 0.82646 motorbike 0.80986,286,268,304,301
motorbike 0.80480,7,422,54,479
motorbike 0.77340,61,368,92,407
motorbike 0.72924,270,388,302,422
motorbike 0.72370,268,375,302,409
person 0.79649 motorbike 0.57902,344,252,366,287
car 0.74068,169,298,264,364
person 0.87750,188,359,231,423
person 0.87306,8,389,51,447
person 0.80285,99,362,134,418
person 0.78289,268,346,304,400
person 0.75502,625,232,640,261
person 0.73324,645,231,661,264
person 0.64952,556,235,570,266
person 0.56184,606,248,618,275
person 0.52596,64,338,89,366
