object_probs,left,top,right,bottom
truck 0.67680,693,526,1079,719
motorbike 0.93669,178,441,223,508
motorbike 0.84355,228,307,250,338
motorbike 0.83384,100,435,152,509
motorbike 0.75175,264,349,289,379
motorbike 0.63308,289,312,311,339
motorbike 0.63047,350,289,368,315
motorbike 0.62597,134,339,171,396
person 0.61235 motorbike 0.60166,335,251,349,277
person 0.81752,227,295,249,329
car 0.91173,510,236,547,260
car 0.82596,549,209,582,236
car 0.51899,596,211,639,235
person 0.97812,177,407,220,496
person 0.88996,103,413,150,494
person 0.87418,262,326,288,370
person 0.82410,348,271,368,308
person 0.66300,288,289,311,325
person 0.65883,266,319,289,348
person 0.56268,311,240,325,263
