object_probs,left,top,right,bottom
motorbike 0.87678,269,388,299,425
motorbike 0.82174,3,419,52,482
motorbike 0.80006,99,398,129,431
motorbike 0.76099,60,368,89,409
person 0.73337 motorbike 0.71093,283,269,302,302
motorbike 0.70935,186,390,218,432
motorbike 0.56155,340,254,361,282
motorbike 0.54768,266,373,299,410
car 0.82615,168,295,261,367
person 0.95923,183,362,225,421
person 0.88815,95,363,131,422
person 0.82169,267,352,298,388
person 0.80304,6,391,49,446
person 0.74777,625,233,640,261
person 0.74372,645,231,661,263
person 0.66821,267,359,303,416
person 0.60635,555,235,570,265
person 0.50718,608,198,621,220
