object_probs,left,top,right,bottom
truck 0.87611,474,569,903,718
person 0.65073 motorbike 0.88631,292,308,318,347
motorbike 0.80397,207,390,240,431
motorbike 0.76977,25,399,72,462
motorbike 0.67601,152,321,187,377
motorbike 0.66832,228,311,255,342
motorbike 0.66334,23,529,100,645
motorbike 0.59808,160,348,185,384
car 0.90701,509,234,548,261
car 0.82661,547,210,584,237
car 0.63008,593,223,640,272
car 0.59116,597,210,641,234
person 0.92487,207,358,243,421
person 0.87509,291,270,309,299
person 0.75377,223,296,252,325
person 0.61287,5,493,47,574
person 0.60889,289,297,312,325
person 0.60056,157,319,181,349
person 0.55931,25,384,68,449
