object_probs,left,top,right,bottom
motorbike 0.93373,208,444,255,503
motorbike 0.90076,307,291,329,318
motorbike 0.84376,118,442,162,489
motorbike 0.79324,47,416,90,480
person 0.79160 motorbike 0.60588,236,285,259,326
person 0.77855 motorbike 0.58760,353,244,371,277
car 0.81242,119,325,217,409
car 0.58251,812,212,911,241
person 0.95545,306,269,331,309
person 0.95113,118,404,163,464
person 0.93959,210,402,253,476
person 0.89257,45,401,89,473
person 0.86313,554,233,570,266
person 0.84962,609,200,621,220
person 0.76496,608,249,620,276
person 0.74125,627,233,641,261
person 0.66220,589,233,605,259
person 0.65179,645,232,659,263
person 0.55687,397,233,413,252
person 0.54909,8,379,48,442
person 0.52122,625,249,638,277
person 0.50450,604,238,617,259
