object_probs,left,top,right,bottom
motorbike 0.95050,251,332,280,364
motorbike 0.76753,329,309,351,338
motorbike 0.75428,172,377,215,438
motorbike 0.55774,981,527,1073,586
car 0.89060,510,236,548,261
car 0.88634,546,209,583,237
car 0.60103,813,212,910,243
car 0.58810,593,221,640,271
car 0.52306,596,211,640,235
person 0.92524,250,309,279,348
person 0.88527,370,254,388,286
person 0.88391,172,364,212,428
person 0.85858,328,253,349,283
person 0.74832,1024,489,1073,575
person 0.73016,326,290,350,332
