object_probs,left,top,right,bottom
motorbike 0.92113,229,309,250,343
motorbike 0.84938,138,402,181,456
motorbike 0.80413,66,381,114,439
person 0.67683 motorbike 0.72581,271,284,295,329
motorbike 0.60880,148,308,175,347
motorbike 0.55869,181,352,205,385
car 0.88530,510,236,548,261
car 0.86293,549,211,583,237
car 0.54149,596,211,636,235
person 0.95682,138,375,179,445
person 0.90180,64,362,111,425
person 0.87805,4,434,49,515
person 0.62162,230,294,252,328
person 0.60210,180,328,205,370
person 0.53903,296,287,321,326
person 0.52668,21,461,98,569
