object_probs,left,top,right,bottom
motorbike 0.94996,985,416,1076,493
motorbike 0.91636,797,420,872,473
motorbike 0.90972,707,356,750,413
motorbike 0.90173,636,343,665,385
motorbike 0.88880,283,247,309,273
motorbike 0.85466,322,342,390,395
motorbike 0.84006,162,341,231,384
motorbike 0.82315,583,307,611,353
motorbike 0.75817,625,291,646,321
motorbike 0.51786,624,270,648,312
car 0.98006,500,351,648,460
car 0.87147,560,235,610,293
person 0.92320,799,374,870,456
person 0.77521,707,343,749,408
person 0.71827,183,319,211,348
person 0.70610,174,320,219,374
person 0.64460,328,322,367,386
person 0.55779,636,314,663,346
person 0.50578,285,241,305,264
