object_probs,left,top,right,bottom
motorbike 0.93965,661,336,700,391
motorbike 0.86719,572,327,601,369
motorbike 0.86152,794,384,861,432
motorbike 0.75414,560,272,585,308
motorbike 0.63547,599,270,622,307
motorbike 0.62409,334,303,383,347
motorbike 0.51342,0,284,49,326
motorbike 0.50171,574,345,598,381
car 0.90619,499,241,552,295
car 0.79597,593,216,643,245
car 0.55618,537,229,562,255
person 0.82471,576,313,607,346
person 0.80811,659,319,698,385
person 0.79500,802,359,852,424
person 0.67331,644,311,669,351
