object_probs,left,top,right,bottom
motorbike 0.92260,249,329,280,371
motorbike 0.80393,297,289,320,321
person 0.65615 motorbike 0.79735,347,267,369,302
person 0.92873 motorbike 0.52092,559,231,574,259
car 0.78202,21,376,163,483
car 0.60296,56,348,170,396
person 0.82715,140,328,169,367
person 0.75596,298,274,320,309
person 0.75492,249,315,277,346
person 0.68042,645,232,660,264
person 0.65809,613,196,626,217
person 0.59181,600,235,618,257
person 0.58180,625,236,642,263
person 0.56610,607,250,621,274
