object_probs,left,top,right,bottom
car 0.67185 truck 0.53286,15,374,163,486
motorbike 0.88633,247,328,278,369
motorbike 0.81593,297,288,319,323
motorbike 0.73889,54,349,166,398
person 0.68734 motorbike 0.70724,343,266,367,305
person 0.57477,246,319,281,373
motorbike 0.59912,31,652,115,719
motorbike 0.58516,250,347,275,378
person 0.94468,560,232,574,259
person 0.85404,136,328,164,368
person 0.80373,297,274,319,310
person 0.79067,247,317,276,347
person 0.72604,645,232,661,264
person 0.72501,614,197,626,217
person 0.66894,626,235,641,263
person 0.63952,601,235,618,258
person 0.62975,29,590,104,698
person 0.61018,608,250,621,274
