object_probs,left,top,right,bottom
motorbike 0.96414,954,437,1048,514
motorbike 0.92905,687,359,730,415
motorbike 0.92060,779,385,849,444
motorbike 0.91615,639,308,662,346
motorbike 0.89095,11,348,80,398
motorbike 0.86813,208,361,284,422
person 0.51197 motorbike 0.84862,336,234,354,255
motorbike 0.64761,602,347,633,382
motorbike 0.52467,417,291,448,326
car 0.99558,570,387,767,511
car 0.83849,554,259,613,310
person 0.72968,214,351,260,420
person 0.71225,965,410,1005,493
person 0.61345,640,290,662,328
person 0.59805,601,322,636,379
person 0.56779,624,231,643,265
person 0.56402,983,411,1031,501
person 0.52760,796,354,835,429
