object_probs,left,top,right,bottom
truck 0.50832,814,538,1073,712
motorbike 0.91322,289,329,312,359
motorbike 0.89922,226,396,263,459
motorbike 0.79574,142,398,182,462
motorbike 0.71956,186,325,212,367
motorbike 0.70131,257,285,277,317
motorbike 0.62827,312,289,338,318
motorbike 0.60274,1,286,48,325
motorbike 0.55136,459,648,555,719
car 0.87731,511,235,550,261
car 0.56780,549,210,584,238
person 0.93754,142,383,179,448
person 0.91285,287,309,312,350
person 0.90093,225,374,263,447
person 0.88839,312,268,339,306
person 0.81456,256,273,278,309
person 0.71571,184,312,210,352
person 0.60458,368,255,388,286
