object_probs,left,top,right,bottom
motorbike 0.94482,809,387,880,438
motorbike 0.84412,575,328,604,370
motorbike 0.79037,671,335,706,399
motorbike 0.78398,560,274,583,312
motorbike 0.74509,322,308,378,353
motorbike 0.71049,578,345,602,382
motorbike 0.64974,599,271,621,308
person 0.50417,574,317,609,375
motorbike 0.63318,647,325,667,361
person 0.56048,647,313,668,351
car 0.85553,497,240,551,294
car 0.78830,593,215,640,247
person 0.86653,820,361,868,423
person 0.84639,671,321,707,386
person 0.81760,578,315,609,347
