object_probs,left,top,right,bottom
motorbike 0.91921,307,311,331,340
person 0.52384 motorbike 0.86163,222,304,247,344
motorbike 0.83123,557,625,660,694
person 0.73851 motorbike 0.76668,276,271,298,303
motorbike 0.71299,169,378,207,442
motorbike 0.65606,4,507,58,609
motorbike 0.59588,253,356,289,423
motorbike 0.52305,47,285,88,319
motorbike 0.51832,332,274,358,299
car 0.93350,511,236,549,261
car 0.86996,549,210,582,236
car 0.64964,596,210,638,234
car 0.57621,595,231,636,263
person 0.95107,304,293,330,331
person 0.79111,169,363,207,427
person 0.78085,249,345,286,406
person 0.72798,1,490,55,588
person 0.65894,594,568,664,641
person 0.54834,221,296,244,329
