object_probs,left,top,right,bottom
motorbike 0.95970,978,415,1072,490
motorbike 0.95576,684,380,735,437
motorbike 0.87444,826,402,899,451
motorbike 0.81578,645,307,673,346
motorbike 0.62473,620,268,645,304
motorbike 0.59477,310,304,359,349
person 0.64856 motorbike 0.56819,621,248,641,283
car 0.98411,807,453,1055,586
car 0.85493,548,279,606,333
person 0.81794,838,381,887,445
person 0.71321,685,331,732,417
person 0.66611,685,316,715,353
person 0.60221,1003,393,1047,472
person 0.56522,662,230,681,262
