object_probs,left,top,right,bottom
truck 0.75712,15,375,159,488
person 0.55076 motorbike 0.87527,295,288,318,324
motorbike 0.78284,248,346,274,380
motorbike 0.77857,244,330,276,370
person 0.62396 motorbike 0.65819,343,268,366,305
motorbike 0.56669,57,351,159,399
person 0.73389,243,321,279,375
car 0.55022,816,212,908,241
person 0.95570,559,232,574,259
person 0.80137,614,194,626,217
person 0.77578,246,319,272,346
person 0.76170,297,276,316,307
person 0.72088,645,232,661,265
person 0.71639,135,329,161,371
person 0.64813,608,250,620,274
person 0.63804,625,235,641,264
person 0.62739,601,236,618,258
