object_probs,left,top,right,bottom
motorbike 0.92487,206,310,234,343
motorbike 0.69710,118,374,152,409
motorbike 0.66944,147,306,173,338
motorbike 0.50700,245,286,265,319
car 0.98264,0,424,149,551
car 0.91975,714,612,1060,718
person 0.83821,207,293,234,325
person 0.78888,116,339,151,401
person 0.77889,338,263,360,302
person 0.77716,144,295,174,332
person 0.76070,645,231,662,265
person 0.68212,242,271,263,313
person 0.68147,225,270,249,305
person 0.63306,625,235,643,264
person 0.60673,549,233,568,268
person 0.56670,116,337,143,368
person 0.56654,613,195,626,217
