object_probs,left,top,right,bottom
truck 0.52428,592,224,640,272
motorbike 0.90086,32,400,81,460
motorbike 0.87536,100,415,152,482
motorbike 0.78417,211,328,233,358
motorbike 0.77394,126,333,156,369
person 0.80225 motorbike 0.74202,209,310,235,350
motorbike 0.69446,254,310,278,341
person 0.53602 motorbike 0.64058,281,305,307,348
motorbike 0.55888,1,505,56,608
car 0.86128,510,236,551,260
car 0.76987,550,211,584,237
person 0.96120,101,393,151,476
person 0.91393,252,288,280,330
person 0.85936,30,381,77,445
person 0.67120,125,311,156,348
person 0.58667,148,342,188,399
