object_probs,left,top,right,bottom
truck 0.78961,0,391,122,529
motorbike 0.88062,315,290,342,325
person 0.74741 motorbike 0.85184,267,308,291,346
motorbike 0.82409,226,373,259,412
person 0.80953 motorbike 0.76783,563,230,577,256
motorbike 0.50398,607,249,621,272
person 0.80975,223,345,258,400
person 0.80538,266,298,290,324
person 0.77801,646,232,662,264
person 0.72413,626,234,643,264
person 0.70250,73,348,111,405
person 0.59071,313,259,333,279
person 0.56977,313,273,338,303
person 0.54611,600,236,618,259
