object_probs,left,top,right,bottom
motorbike 0.90817,332,266,355,297
motorbike 0.82633,0,413,33,493
motorbike 0.78883,41,356,78,417
motorbike 0.74685,163,379,205,443
person 0.94360 motorbike 0.68072,269,270,289,304
motorbike 0.52441,255,409,290,448
car 0.70789,148,312,247,380
car 0.50409,814,211,910,242
person 0.82453,253,364,291,426
person 0.80898,331,257,353,286
person 0.80287,625,233,643,264
person 0.78411,555,235,571,266
person 0.77637,645,231,662,267
person 0.69860,372,234,386,260
person 0.65303,83,378,120,440
person 0.63926,161,364,203,428
person 0.56555,607,201,620,220
person 0.55584,606,249,620,275
