object_probs,left,top,right,bottom
truck 0.60210,636,533,1057,717
motorbike 0.92263,144,451,197,538
person 0.52817 motorbike 0.88417,209,309,232,345
person 0.54981 motorbike 0.85674,333,287,354,323
motorbike 0.84911,249,353,277,389
motorbike 0.65915,270,312,300,346
motorbike 0.64363,80,456,130,531
person 0.55106 motorbike 0.63892,296,250,311,274
motorbike 0.59225,27,288,78,324
motorbike 0.57732,107,343,147,407
car 0.88505,511,236,548,262
car 0.74767,547,209,584,238
car 0.60535,811,212,911,244
car 0.50745,597,212,638,235
person 0.92831,145,428,196,523
person 0.84655,80,435,122,508
person 0.78958,250,329,276,372
person 0.70894,268,289,299,328
person 0.55747,327,251,341,280
person 0.52708,269,274,293,304
person 0.52085,210,298,230,327
