object_probs,left,top,right,bottom
motorbike 0.94743,843,404,924,459
motorbike 0.88963,934,465,1030,532
motorbike 0.86236,612,307,637,350
motorbike 0.84225,698,380,748,428
motorbike 0.82789,579,286,605,331
motorbike 0.76263,397,318,458,369
motorbike 0.64825,663,322,698,381
motorbike 0.62144,286,320,347,366
car 0.98288,480,328,571,422
car 0.55425,568,236,616,285
person 0.85006,293,307,341,357
person 0.83849,403,298,450,365
person 0.81284,217,253,247,284
person 0.78916,956,431,1007,523
person 0.78606,698,336,742,409
person 0.72177,856,369,903,448
