object_probs,left,top,right,bottom
motorbike 0.93368,213,445,258,499
motorbike 0.74626,120,423,165,482
motorbike 0.69159,52,415,91,478
motorbike 0.64651,312,292,332,314
person 0.66083 motorbike 0.53855,355,244,372,275
car 0.85976,120,326,220,405
car 0.63263,813,212,911,240
person 0.97972,214,400,259,471
person 0.95261,309,269,333,308
person 0.92196,240,281,263,326
person 0.91179,121,402,164,462
person 0.86710,555,233,570,265
person 0.86162,609,200,621,221
person 0.69719,607,249,620,275
person 0.68800,626,234,641,261
person 0.67532,645,232,660,263
person 0.56490,589,233,605,259
