object_probs,left,top,right,bottom
truck 0.74939,350,203,442,289
motorbike 0.94838,888,420,960,478
motorbike 0.93222,598,328,639,367
motorbike 0.93087,527,287,560,324
motorbike 0.90636,476,268,500,303
motorbike 0.86511,403,441,452,502
person 0.60592 motorbike 0.62768,454,254,478,283
motorbike 0.56427,454,266,478,294
car 0.99129,448,340,586,443
person 0.88498,404,403,449,467
person 0.85903,598,304,637,363
person 0.70617,530,279,558,307
person 0.63183,899,395,946,468
person 0.62880,474,256,497,281
person 0.59429,604,302,624,328
person 0.59108,602,309,630,342
